year,make,model,miles,trim,sold_price
2020,Volvo,S60,20896,T5 R-Design,35990
2013,Volvo,XC90,61103,3.2,19590
2018,Chevrolet,Equinox,51871,LT,20484
2013,GMC,Terrain,74034,SLE-2,16990
2019,Land Rover,Range Rover Velar,25704,base,48990
2018,Toyota,4Runner,35188,TRD Off-Road,38973
2021,Toyota,RAV4,13935,XLE,37590
2017,Chrysler,300,62369,300 Limited,20990
2019,Lincoln,Nautilus,33245,Reserve,36590
2018,Lincoln,MKC,23891,Reserve,30590
2014,Ford,Mustang,84862,V6 Premium,18990
2014,Audi,A6,47571,TDI Premium Plus,28990
2015,Jeep,Patriot,50807,Sport,15990
2017,Chevrolet,Spark,63897,LS,13990
2017,Kia,Rio,92291,LX,13990
2016,Honda,HR-V,53514,EX-L,22590
2018,Ford,Taurus,66746,SE,16990
2015,MAZDA,CX-5,84878,Sport,17990
2021,Nissan,Sentra,2747,SV,25990
2020,Kia,Sedona,70624,EX,25513
2011,Jeep,Grand Cherokee,93162,Limited,18990
2015,Kia,Optima,32307,EX,22590
2021,Honda,Ridgeline,10792,Sport 5 ft,37990
2014,BMW,4 Series,49700,428i,25990
2021,Ford,Ranger SuperCrew,14951,XLT 5 ft,34990
2010,Toyota,Corolla,66801,S,15990
2015,BMW,3 Series,62554,328i xDrive,20990
2018,BMW,3 Series,17628,330i xDrive,32990
2016,Ford,Fusion,90641,SE,16590
2020,Ford,Mustang,50359,EcoBoost Premium,29151
2016,Volkswagen,Passat,30746,1.8T SE,22990
2017,Cadillac,XT5,35492,Premium Luxury,31318
2019,BMW,3 Series,30948,330i,36590
2015,MAZDA,MAZDA5,74195,Sport,16590
2017,Jeep,Cherokee,80272,Limited,19990
2018,Honda,Accord,54119,EX-L,27590
2019,Honda,Civic,26749,LX,23990
2018,Nissan,Rogue,25468,SL,24990
2016,Dodge,Grand Caravan Passenger,68752,AVP,17590
2009,Honda,CR-V,67304,EX,16990
2012,MINI,Countryman,104907,Cooper S,14990
2014,Toyota,Tacoma Double Cab,82191,5 ft,25990
2021,Nissan,Murano,13898,S,35916
2019,Nissan,Kicks,77037,SV,19590
2016,Jeep,Wrangler,69952,Unlimited Backcountry,33990
2018,Chevrolet,Silverado 1500 Crew Cab,102994,LT 5 3/4 ft,29990
2016,Toyota,Yaris,47100,L Hatchback,16590
2019,Toyota,RAV4,42993,XLE Premium,32590
2016,Lincoln,MKX,97030,Select,20590
2022,MAZDA,CX-5,2106,2.5 S Select,33990
2015,Kia,Soul,45046,!,19990
2015,FIAT,500,47270,Sport,15590
2014,Subaru,Legacy,99960,2.5i Sport,16590
2020,Jeep,Gladiator,11686,Mojave 5 ft,55990
2016,Chevrolet,Trax,71007,LT,17990
2020,GMC,Sierra 1500 Crew Cab,45206,SLE 5 3/4 ft,40994
2014,Lexus,IS,8408,IS 250,29990
2020,Chevrolet,Blazer,49150,3LT,29700
2016,Honda,Civic,51026,EX,21990
2014,Subaru,Outback,97098,2.5i Premium,17590
2012,Honda,Accord,24190,LX-P,18990
2018,Toyota,Tacoma Double Cab,62000,SR5 5 ft,31990
2016,Ram,1500 Quad Cab,99281,Express 6 1/3 ft,26990
2015,INFINITI,QX50,92177,Journey,19590
2017,Toyota,RAV4,25995,Limited,29590
2011,Jaguar,XJ,68131,XJL,20990
2016,Mercedes-Benz,C-Class,37681,C 300,27990
2016,Jeep,Wrangler,67327,Unlimited Sport S,26590
2011,Lexus,ES,59271,ES 350,18990
2011,INFINITI,M,93395,M37x,16990
2017,Honda,Accord,46631,Sport,24590
2019,Ford,Expedition,41701,XLT,44590
2019,MAZDA,MAZDA3,21889,Select,24990
2019,BMW,X3,42416,sDrive30i,34990
2013,Ford,Focus,82814,SE,12990
2019,MAZDA,MAZDA3,43461,Preferred,23990
2014,Maserati,Quattroporte,58607,S Q4,31990
2018,Nissan,Altima,81282,2.5 S,18590
2013,Hyundai,Veloster,57536,Turbo,17990
2015,Chevrolet,Silverado 1500 Crew Cab,90084,LT 5 3/4 ft,30990
2017,Nissan,Versa,58599,S Plus,14990
2019,Ford,F150 SuperCrew Cab,68402,Lariat 5 1/2 ft,41999
2015,Kia,Forte5,38493,SX,17990
2014,Nissan,JUKE,16396,SV,19990
2015,MAZDA,MAZDA6,53163,i Sport,18990
2012,Mercedes-Benz,C-Class,74002,C 250,17990
2020,Chevrolet,Equinox,53846,LT,21398
2016,Honda,CR-V,61948,EX,22990
2017,Acura,MDX,35989,SH-AWD,36990
2015,BMW,4 Series,62197,428i,28990
2015,Mercedes-Benz,S-Class,62090,S 550,42590
2016,Kia,Soul,27451,base,18990
2015,Dodge,Dart,61689,SE,15590
2014,Dodge,Dart,97098,GT,14990
2020,Toyota,Corolla,55455,LE,20753
2020,MINI,Countryman,37026,Cooper,29990
2018,Alfa Romeo,Giulia,28558,Ti,33990
2020,Mitsubishi,Mirage G4,60916,ES,15990
2012,INFINITI,EX,68349,EX35 Journey,18990
2015,Jeep,Compass,90475,High Altitude Edition,15990
2017,Dodge,Grand Caravan Passenger,60518,GT,22990
2021,Kia,Telluride,27944,EX,45590
2015,Jeep,Grand Cherokee,100245,Laredo E,19990
2021,Jeep,Gladiator,16810,Mojave 5 ft,52590
2018,Nissan,Versa,32132,S,15990
2014,Jeep,Grand Cherokee,94468,Limited,21590
2017,Ford,Mustang,41081,V6,24990
2017,Nissan,Pathfinder,26346,SL,29990
2017,Hyundai,Santa Fe,57075,SE Ultimate,28590
2017,GMC,Acadia Limited,25120,base,31990
2010,Honda,CR-V,62286,EX-L,17990
2021,Jeep,Cherokee,5999,Latitude,29990
2019,Dodge,Journey,34001,SE,22990
2015,Mercedes-Benz,GLA-Class,8953,GLA 250,30590
2019,Nissan,Rogue,12276,SV,26590
2019,Jeep,Renegade,21125,Latitude,24990
2019,Lexus,NX,41526,300,33590
2018,Volvo,S90,65174,T5 Momentum,28990
2019,Subaru,Impreza,42597,2.0i,21990
2015,Toyota,Prius,57302,Three,24990
2017,GMC,Terrain,87750,SLE-1,17990
2016,Chrysler,Town & Country,77201,Touring,19990
2020,Chevrolet,Camaro,42232,SS,40990
2019,Toyota,Corolla Hatchback,24840,XSE,26590
2014,Ford,Focus,55405,SE,13990
2012,Scion,xD,104372,base,12990
2021,Nissan,Frontier Crew Cab,2822,SV 5 ft,30990
2018,MAZDA,MAZDA3,25077,Sport,20990
2016,Subaru,Crosstrek,46942,2.0i Limited,24990
2011,Toyota,Tacoma Double Cab,72776,PreRunner 5 ft,23990
2016,Dodge,Challenger,58972,SXT Plus,26990
2017,Jeep,Wrangler,67387,Willys Wheeler,30590
2020,Mercedes-Benz,GLC,33266,GLC 300 4MATIC,37990
2016,Ford,Escape,41872,SE,19590
2009,Ford,Fusion,103306,SE,10990
2019,Ford,Fiesta,16654,SE,18990
2017,Jeep,Cherokee,70993,Latitude,18990
2014,Lexus,GS,26247,GS 350,28990
2020,Nissan,Rogue,42467,SV,22975
2016,BMW,i3,70122,Range Extender,22990
2018,BMW,X2,33994,sDrive28i,29990
2016,Honda,Odyssey,68851,Touring,30590
2021,Honda,CR-V,14828,EX-L,35590
2014,Volkswagen,Golf,68643,2.5L Hatchback,16590
2021,Ford,Bronco Sport,13673,base,33990
2020,Jeep,Grand Cherokee,61281,Trailhawk,37590
2018,Jeep,Wrangler Unlimited,30126,Sport (JK),35990
2017,Jeep,Compass,80552,Latitude,17990
2013,Volkswagen,Tiguan,84227,2.0T SE 4Motion,16590
2015,Toyota,Corolla,70401,S Plus,17990
2019,Chrysler,300,61067,300S,25590
2017,Chrysler,Pacifica,81715,Touring-L,22990
2019,Mitsubishi,Outlander Sport,47942,SE,21590
2020,Lexus,ES,30912,ES 350,38590
2014,Ford,Focus,73795,SE,13990
2010,MAZDA,MAZDA3,74331,s Grand Touring,13990
2017,INFINITI,QX50,50216,base,24590
2009,Hyundai,Elantra,70657,GLS,11590
2018,Nissan,Rogue,57260,SL,25590
2015,Acura,ILX,96208,base,17990
2018,Jeep,Compass,13532,Limited,26590
2019,Audi,Q7,26929,55 TFSI Premium,46590
2014,Subaru,XV Crosstrek,89299,Premium,18590
2014,Buick,Encore,10796,base,19990
2015,Honda,Civic,75538,LX,17990
2015,Toyota,Highlander,67709,Limited Hybrid,32990
2019,Dodge,Durango,27594,R/T,45990
2014,Lexus,GS,76569,GS 350,23990
2015,Buick,LaCrosse,85962,Leather,18990
2015,Toyota,Sienna,54524,SE,29990
2019,Subaru,WRX,9982,WRX Limited,34990
2015,Toyota,Corolla,85782,LE,16990
2014,Jeep,Patriot,96879,Sport,14990
2010,Honda,Fit,27954,Sport,15990
2013,Jeep,Wrangler,58474,Unlimited Rubicon 10th Anniversary,34990
2016,Volvo,XC90,88608,T6 Momentum,29590
2014,Mercedes-Benz,CLA-Class,30140,CLA 250,26990
2017,Jeep,Wrangler,20162,Sport,31990
2013,Jaguar,XF,36869,XF,21590
2018,Ford,Mustang,35277,EcoBoost Premium,29990
2022,Jeep,Wrangler,649,Rubicon,52990
2014,Mercedes-Benz,E-Class,47981,E 350 4MATIC,25990
2017,Kia,Sedona,20034,LX,28590
2012,Jeep,Grand Cherokee,91513,Laredo,18990
2019,MAZDA,CX-5,18412,Grand Touring,29990
2016,Toyota,Camry,100842,SE,17990
2011,Volkswagen,Golf,86390,TDI,15590
2017,Lexus,RX,30999,RX 350,37590
2017,Hyundai,Santa Fe Sport,69876,base,19590
2014,Ford,Focus,71768,SE,13990
2012,Volvo,S60,100053,T5,13990
2017,Ford,Focus,103823,ST,18590
2018,Ford,Fiesta,19660,SE,17990
2020,Chevrolet,Tahoe,65965,LT,38998
2018,Mercedes-Benz,E-Class,24980,E 300 4MATIC,39990
2016,Ford,Focus,70375,SE,15590
2010,Ford,Mustang,57895,Premium,17990
2016,Honda,CR-V,52326,Touring,26590
2014,BMW,i3,43971,Range Extender,19990
2016,Chevrolet,Spark,94465,LS,12990
2010,Honda,Accord,45124,EX-L,18990
2017,Audi,S3,34173,Premium Plus,36590
2018,Honda,CR-V,40974,EX-L,28990
2016,MINI,Countryman,75643,Cooper S ALL4,20590
2018,Ford,Fusion,19534,SE,22990
2017,Ford,Explorer,44030,XLT,26990
2016,Nissan,Altima,90823,2.5 S,15990
2019,Jeep,Renegade,34318,Latitude,24590
2019,Volvo,XC90,47555,T5 Momentum,39990
2015,Chevrolet,Silverado 1500 Double Cab,58258,LT 6 1/2 ft,31590
2021,Tesla,Model 3,5226,Standard Range Plus,52990
2015,Jaguar,XF,26700,XF Sport,27990
2018,Lexus,RC,38224,RC 350,39590
2014,Mercedes-Benz,M-Class,61928,ML 350,22990
2020,Toyota,Tacoma Double Cab,19600,SR5 5 ft,39590
2015,Ford,Explorer,54265,Limited,26990
2014,Chevrolet,Silverado 1500 Crew Cab,82564,LT 5 3/4 ft,27990
2022,Honda,Civic,13890,Touring,34990
2015,Chevrolet,Impala Limited,25377,LS,18990
2021,Volkswagen,Atlas,26075,SE 4Motion w/Tech Pkg,38590
2015,Volvo,S60,61176,T5 Premier (2015.5),19990
2013,Toyota,Corolla,73519,LE,16990
2015,BMW,X5,47609,xDrive35i,31990
2016,BMW,3 Series,58375,320i xDrive,22990
2019,GMC,Terrain,54342,SLT,26590
2019,Toyota,Tundra CrewMax,26322,SR5 5 1/2 ft,40990
2012,Cadillac,CTS,54641,base,18590
2015,Mercedes-Benz,M-Class,52293,ML 350,27990
2020,Honda,Accord Hybrid,3031,Touring,37990
2019,Audi,A6,31569,55 TFSI Premium Plus,46626
2019,MINI,Convertible,11139,Cooper S,35590
2019,Lincoln,MKC,30020,Premiere,28990
2014,Mercedes-Benz,GLK-Class,60925,GLK 350,22990
2019,Jeep,Cherokee,52896,Limited,24803
2017,Hyundai,Sonata,84436,SE,16990
2022,Kia,Soul,15181,LX,24590
2021,Kia,Forte,35820,LXS,22990
2019,Chevrolet,Colorado Extended Cab,26721,Work Truck 6 ft,28520
2019,BMW,5 Series,25376,530i,39590
2010,GMC,Canyon Extended Cab,19651,SLT 6 ft,17590
2016,Mercedes-Benz,SLK,12486,SLK 300,38590
2009,Chevrolet,Impala,24043,LS,13990
2020,Toyota,86,15233,base,30990
2009,Ford,Mustang,16643,GT Premium,25990
2022,Toyota,Camry,6456,SE,35990
2021,Chevrolet,Spark,15430,LS,17990
2021,Toyota,C-HR,1005,LE,29990
2019,Mitsubishi,Eclipse Cross,33504,LE,22990
2017,Chrysler,300,43491,300 Limited,22990
2015,Subaru,Outback,54821,2.5i Premium,23590
2018,Kia,Soul,99426,base,14990
2013,Ford,Explorer,84740,XLT,18990
2012,Ford,Mustang,32492,GT Premium,27990
2014,GMC,Acadia,102181,SLE-2,16590
2019,Lexus,UX,4951,200 Luxury,36590
2020,Ford,EcoSport,44411,SES,20434
2011,Toyota,Camry,95700,LE,14590
2018,Jeep,Grand Cherokee,79986,Limited,27590
2020,Hyundai,Elantra,5506,Limited,24990
2021,Tesla,Model S,5478,Plaid,129990
2019,MAZDA,MX-5 Miata RF,44503,Grand Touring,29590
2017,Lincoln,Continental,82698,Premiere,24590
2018,Tesla,Model 3,27326,Long Range,49990
2020,Nissan,Sentra,4880,SV,24590
2020,Toyota,4Runner,29081,Venture,47990
2022,GMC,Acadia,2157,Denali,52590
2013,Hyundai,Azera,68153,base,16590
2018,Jeep,Wrangler,28237,All New Rubicon,43990
2012,Toyota,Sienna,75938,SE,23990
2017,Audi,S3,28590,Premium Plus,36990
2014,Nissan,Xterra,98782,S,17590
2017,Volkswagen,Golf R,92790,Hatchback,27590
2013,Volkswagen,Passat,48234,TDI SE,17590
2016,Toyota,Corolla,77586,LE,17990
2018,Honda,CR-V,26113,EX-L,29990
2014,Hyundai,Equus,56379,Signature,22990
2014,Chevrolet,Cruze,61822,LTZ,15990
2020,Toyota,C-HR,24642,LE,27590
2016,BMW,3 Series,56530,340i xDrive,31990
2015,MAZDA,MAZDA3,78018,i Touring,16590
2018,Honda,Pilot,63679,Touring,33990
2019,Ram,1500 Crew Cab,38135,Big Horn 5 1/2 ft,36990
2011,INFINITI,G,59819,G37x,19990
2019,Dodge,Grand Caravan Passenger,74121,GT,18725
